ordem	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CasM1	CAV1	CAV2	CBR1	COV1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	rPON1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	Vilc1	VIZ1
Pleosporales	43201	104709	107252	50922	7936	202123	77548	40770	43961	110136	17292	67546	69805	99642	72491	78977	35854	55842	20694	14088	174234	142557	54115	75037	17545	36291	236541	1028912	17076	77228	78759	516974	35283	7289	50014	19229	16871	114906	73698	126157	73338	149238	32875	198429	59090	49496	6498	9721	41743	47835
Polyporales	829	11255	10519	2466	2880	7166	7361	3999	2602	5096	0	8907	1854	3595	5855	2878	3016	2820	1411	778	5378	5951	1541	5805	1957	2957	6915	2819	1720	3427	1423	4761	2525	484	6544	3369	1564	4214	3654	1857	2737	1590	4673	6282	8748	7167	1325	2792	1038	9362
Pucciniales	2971	124028	42560	5259	21737	2899	75066	55981	3844	1641	0	3653	12452	362502	1238	280463	0	2250	469	25172	88176	23215	12278	3943	56686	1084	7744	7048	13832	23361	919	235316	1266	14162	29041	4520	18100	16906	1623	0	8862	4740	45160	108848	67164	25421	1248	27802	3223	24316
Rhizophydiales	0	0	2372	1677	0	0	0	0	0	0	0	0	0	0	0	1086	2961	0	0	0	0	0	2199	767	0	0	2272	0	0	0	0	0	3360	313	0	0	317	0	0	0	1905	0	0	0	0	2575	0	0	870	0
Russulales	0	0	0	1126	0	0	0	0	0	1029	0	1385	0	0	13062	0	0	0	0	0	0	0	0	2510	0	0	2310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11385	0	0	0	0
Saccharomycetales	1760	9276	11975	5863	1990	16835	6297	6762	3726	4731	1857	7768	1778	6181	6653	3253	2884	1961	795	911	5237	9941	3985	4079	1196	2766	9424	5483	1054	3512	2577	5757	3944	974	5244	2982	1433	3897	3414	4121	8100	2541	3438	4868	7562	9365	1036	1599	3786	6650
Sebacinales	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	2771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2407	0	0	0	0	0	0	0	0	0	0
Sordariales	8446	43668	26134	22768	8882	203416	30931	27015	16292	67400	4630	10306	2389	12807	73265	1587	1495	1306	991	8317	4411	32685	15340	11440	598	16703	53040	5274	2653	4793	13778	3059	12933	2533	5136	2786	4525	7375	2690	2121	49873	7069	3768	6908	69281	44560	1905	1753	11391	9182
Spizellomycetales	0	0	2855	2355	318	0	0	2499	0	1125	1422	0	620	0	0	1417	3641	0	0	0	0	0	3213	1027	0	1058	1924	1975	232	0	1039	0	5871	480	0	0	514	714	0	1405	2702	1136	0	0	0	3989	375	0	833	2192
Sporidiobolales	251	0	1798	0	0	0	0	0	0	1801	0	663	0	0	0	1053	0	504	0	0	0	4683	2476	972	288	0	3892	0	0	0	0	9624	0	0	0	0	0	0	0	1009	0	0	0	3164	0	0	0	0	0	0
