genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Arthonia	0	0	0	0	0	0,001004	0	0	0,000469	0	0	0	0,001252	0	0	0	0	0	0	0	0	0	0,000811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000661	0	0	0	0	0	0,000694	0
Arthothelium	0	0	0	0	0	0,000434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrinium	0,003767	0,001354	0,000519	0,001775	0,002137	0,005139	0,004007	0,00134	0,000977	0,007281	0,001077	0	0	0,004628	0	0,000512	0	0,00048	0	0,00174	0	0,001933	0,001192	0,000994	0,000416	0,000571	0,002349	0	0,000949	0,000811	0,001818	0	0,000601	0,002526	0	0,000829	0,001779	0	0	0,001587	0,001327	0	0,001004	0,002281	0,001495	0,000668	0,000918	0,000591	0,001034	0
Arthrobotrys	0,004721	0,00183	0,002591	0,003548	0,002048	0,005432	0,004087	0,001761	0,002771	0,006051	0,001632	0,001544	0,00267	0,004271	0	0,002385	0	0,000432	0,000411	0,002137	0,000481	0,004132	0,00402	0,004279	0	0,002075	0,005426	0,00056	0,001421	0,001035	0,002237	0,000632	0,001804	0,001527	0	0,002155	0,001804	0	0	0,003749	0	0,000893	0,001483	0,001942	0,001774	0,001159	0,00172	0,001149	0,002357	0,001357
Arthroderma	0,002343	0,000614	0,001955	0,000974	0,000525	0,002665	0,000999	0	0,000799	0,001452	0	0,000467	0,001724	0,001848	0	0	0	0	0	0,000486	0	0,002273	0,001206	0,002373	0	0	0,002255	0,000699	0,000429	0	0,000438	0	0,000695	0	0	0,00148	0,001003	0	0	0,001923	0	0,000704	0,000431	0	0	0	0,000505	0	0,001229	0
Ascobolus	0,00427	0,001381	0,00239	0,002482	0,001433	0,00173	0,002491	0,001109	0,001437	0,003232	0	0,00055	0,001922	0,00391	0	0,00124	0	0,00052	0	0,001555	0	0,002859	0,00136	0,002207	0	0,000963	0,002487	0,000678	0,001103	0,000783	0,000605	0	0,000898	0,001097	0	0,001829	0,001634	0	0	0,001949	0,000621	0,000893	0,000628	0,001085	0,001131	0,000958	0,001358	0,000428	0,002025	0
Ascochyta	0,011745	0,003718	0,016254	0,005983	0,004138	0,005997	0,007876	0,001571	0,00338	0,029934	0,001949	0,007391	0,003777	0,004718	0,003608	0,002547	0,001581	0,012559	0,005613	0,003772	0,004503	0,010927	0,020818	0,014043	0,003509	0,002963	0,061347	0,041596	0,005567	0,006213	0,005962	0,010868	0,00449	0,00784	0,001548	0,027774	0,008287	0,001675	0,031778	0,00335	0,006173	0,002456	0,007786	0,003262	0,001492	0,002404	0,00297	0,002981	0,003708	0,001423
Ascodesmis	0,002332	0,000841	0,001528	0,002069	0,00153	0,00198	0,001661	0	0,000586	0,001679	0	0,00055	0,00215	0,002099	0	0,000524	0	0,001097	0	0,001021	0	0,002087	0,00135	0,001685	0	0	0,001917	0,000535	0,000542	0,000448	0,000447	0	0,000425	0,001131	0	0,001273	0,001114	0	0	0,000859	0	0,000532	0,000911	0,000413	0	0,000579	0,001588	0	0,001334	0
Ascosphaera	0,002756	0,001618	0,002582	0,002688	0,002296	0,002282	0,002174	0,000989	0,001564	0,003692	0,000416	0,001414	0,003205	0,002907	0,00062	0,001397	0	0,00162	0	0,001483	0	0,002557	0,002376	0,003057	0	0,001442	0,00258	0,000885	0,001399	0,000839	0,00104	0	0,001396	0,00101	0,000475	0,001521	0,002434	0	0	0,001928	0	0,000704	0,001417	0,001198	0,000607	0,000847	0,00134	0,000442	0,001872	0
Aspergillus	0,241604	0,094993	0,150976	0,137693	0,094583	0,271647	0,146895	0,067162	0,080345	0,219601	0,034734	0,069974	0,113303	0,224596	0,029383	0,069585	0,019998	0,056168	0,032201	0,100106	0,036205	0,228161	0,122777	0,171326	0,022821	0,05248	0,186402	0,117606	0,062755	0,064849	0,067151	0,034027	0,07757	0,070563	0,023572	0,127484	0,123948	0,032625	0,021723	0,142117	0,038949	0,070352	0,068029	0,081772	0,078991	0,057501	0,076333	0,058175	0,107142	0,026894
Athelia	0,000641	0	0	0,000482	0	0	0	0	0	0,001066	0	0	0	0,000776	0	0,000814	0	0	0	0	0	0,000469	0,000497	0,001375	0	0	0,000758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000509	0	0	0	0	0
Aulographum	0,022914	0,011057	0,01252	0,017811	0,009715	0,029382	0,014945	0,006076	0,008427	0,017339	0,003258	0,011477	0,014449	0,02452	0,004958	0,009797	0,002046	0,009944	0,00413	0,007964	0,0038	0,030244	0,012812	0,019828	0,004184	0,006719	0,022188	0,036179	0,008277	0,005873	0,007424	0,008037	0,008482	0,007685	0,004731	0,012897	0,010226	0,003208	0,005831	0,01323	0,007353	0,007687	0,010614	0,006371	0,006021	0,006158	0,010323	0,004928	0,028328	0,003053
