order	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Cellvibrionales	0,269623	0,136773	0,057935	0,197124	0,070099	0,096025	0,08115	0,226997	0,197693	0,074907	0,268995	0,172872	0,182973	0,078071	0,285701	0,341565	0,274137	0,197409	0,264219	0,294409	0,253844	0,082242	0,148	0,066982	0,253799	0,331377	0,085433	0,287323	0,135856	0,141183	0,254826	0,236679	0,170243	0,079675	0,355098	0,047987	0,200618	0,26507	0,117565	0,148618	0,118253	0,270119	0,195466	0,119919	0,204154	0,354154	0,147024	0,177919	0,279908	0,257465
Chitinophagales	1,253999	0,674424	0,583572	0,614284	0,489783	0,276971	0,730587	0,691595	1,140685	0,344634	2,004191	1,561127	0,726208	2,458116	0,483271	4,094289	3,107321	1,239501	11,713422	0,583422	6,495697	1,342651	0,661744	0,792166	3,121645	1,32408	2,169147	1,61875	1,351163	1,791527	0,561953	4,386436	0,570622	0,342973	0,770199	0,170502	1,294021	2,128401	2,193788	1,697886	0,968229	2,299125	1,597102	0,436604	0,669834	1,053524	0,413491	0,571028	3,154277	1,633338
Chlamydiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,021774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,008858	0	0	0	0	0	0	0
Chlorobiales	0	0	0	0	0	0,010144	0	0	0	0	0	0	0	0	0	0	0,013201	0	0	0	0	0	0	0,008516	0	0	0	0	0	0	0	0	0	0	0	0	0	0,011277	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexales	0,015072	0	0	0	0	0	0	0,009511	0	0	0	0,009801	0	0	0	0,11913	0,022527	0	0,008749	0	0,037914	0	0	0,014153	0,100844	0	0	0,081702	0,033142	0,012186	0	0,035432	0,010334	0	0,022243	0	0	0,030682	0,060593	0	0,023131	0,009613	0	0	0	0,011141	0	0,018305	0	0,021192
Chromatiales	0,116265	0,062633	0,098797	0,223402	0,12323	0,125325	0,069974	0,185614	0,194212	0,064138	0,250021	0,097238	0,108129	0,087521	0,072459	0,172022	0,226001	0,086674	0,129784	0,108377	0,181335	0,072348	0,148622	0,095526	0,130281	0,164559	0,089613	0,161764	0,085709	0,10217	0,141154	0,106215	0,188864	0,082883	0,166049	0,078395	0,115642	0,158722	0,072388	0,189014	0,157869	0,127426	0,055215	0,112096	0,21132	0,201101	0,099728	0,128588	0,216176	0,200668
Chroococcales	0,009189	0	0,024199	0,008539	0,032027	0	0,019842	0,033666	0	0	0,018588	0,040315	0	0,080189	0	0,02099	0,233841	0,029164	0	0	0,020112	0	0	0,133695	0	0,009551	0	0,022762	0	0,048801	0	0,011173	0,009878	0	0	0,041997	0	0,021641	0,028106	0,008292	0	0	0	0	0,025707	0,017463	0	0,033114	0,066378	0
Chroococcidiopsidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0143	0	0	0,039183	0	0	0	0	0	0	0,046577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,008457	0
Chthoniobacterales	0,016019	0	0	0,011282	0	0,008365	0	0,031776	0,019625	0	0,038407	0,012933	0	0	0,010283	0,05112	0,040751	0,009028	0,027601	0,008714	0,031618	0	0,010513	0,029824	0,051801	0,022469	0	0,054477	0	0,016303	0,030535	0,071421	0,028143	0	0	0	0	0,025763	0,038804	0,011442	0,019742	0,030788	0,008789	0,008308	0,020241	0,042683	0	0,023984	0,010434	0,028662
Chthonomonadales	0	0	0,016028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,037731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
