species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Achromobacter spanius	0	0	0	0,000748	0	0	0	0	0,000944	0	0,00121	0	0	0	0	0	0	0	0	0,000903	0	0,000817	0,001975	0	0	0	0,001784	0	0	0	0	0	0,001281	0	0	0	0	0	0,000811	0,001646	0	0	0	0,001027	0	0	0	0,000817	0,00084	0
Achromobacter veterisilvae	0	0	0	0	0	0,000703	0	0,001048	0,000755	0	0,001176	0	0	0	0	0	0	0	0	0	0	0	0,001681	0	0	0,000696	0	0	0	0	0,000734	0	0,000686	0	0,001026	0	0	0	0	0,001734	0	0	0	0	0,001092	0	0	0,000765	0,00084	0
Achromobacter xylosoxidans	0,001797	0,002843	0,002138	0,004762	0,001811	0,003203	0,003662	0,004798	0,004735	0,003354	0,006296	0,001267	0,002738	0,003147	0,003535	0,002686	0,003459	0,002826	0,002575	0,003585	0,002866	0,005179	0,00732	0,002924	0,003416	0,003482	0,005044	0,002995	0,001917	0,001959	0,005753	0,002939	0,006136	0,003046	0,003633	0,001184	0,003838	0,002612	0,002874	0,005804	0,003328	0,002714	0,001758	0,006137	0,005073	0,003388	0,002799	0,004602	0,003638	0,003228
Acidibrevibacterium fodinaquatile	0,002765	0,001352	0,014261	0,008218	0,00741	0,003286	0,002139	0,006128	0,003606	0,002415	0,004281	0,00155	0	0,001828	0,00178	0,004639	0,007037	0,000901	0,000912	0,002004	0,001077	0,002084	0,004895	0,037035	0,002046	0,001276	0,005105	0,002265	0,002643	0,000731	0,002394	0,002072	0,008042	0,002859	0,0014	0,003826	0,001675	0,004255	0,001114	0,01209	0,001892	0,002127	0,002831	0,00252	0,017788	0,004953	0,000813	0,00297	0,006781	0,000788
Acidiferrobacter thiooxydans	0	0	0	0,000904	0	0,002828	0	0	0,000701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000943	0	0	0	0	0
Acidihalobacter aeolianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00077	0	0	0	0	0
Acidihalobacter ferrooxydans	0	0	0	0,001816	0	0	0	0,003144	0,002264	0,000754	0,002796	0	0	0	0	0,000814	0,001941	0	0	0	0	0	0,001597	0	0	0,000827	0	0,000872	0	0	0,000763	0	0,000695	0	0,000795	0	0,00202	0,000711	0	0,001695	0	0,000721	0	0,001011	0,003501	0,002157	0	0,000719	0,001665	0,000794
Acidihalobacter prosperus	0	0	0,00086	0,002638	0,001007	0,000787	0	0,00191	0,001963	0	0,002134	0	0,000899	0	0,000737	0,001979	0,002714	0	0	0	0,001675	0	0,001972	0,000725	0,000915	0	0	0,001295	0	0	0,000745	0	0,001725	0	0	0	0,000811	0,001016	0	0,002234	0,000745	0,000807	0	0,000964	0,002054	0,002088	0	0,000778	0,002421	0,000746
Acidimangrovimonas indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidimangrovimonas sediminis	0,000985	0,002736	0	0,001855	0,000974	0	0,002142	0,003062	0,002129	0	0,002869	0,002983	0,002446	0,00099	0,002046	0,004935	0,002172	0,000941	0,002066	0,002981	0,002205	0,000695	0	0,000822	0,00506	0,00136	0	0,004157	0,003397	0,002332	0,002289	0,002421	0,002603	0,002118	0,011836	0	0,004246	0,00358	0,001692	0,002194	0,00286	0,003339	0,001658	0,001778	0,002615	0,002951	0,000789	0,004228	0,002335	0,001943
