genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Acidomonas	0	0	0,001165	0	0	0	0	0	0	0	0	0	0	0	0	0,001046	0	0	0	0	0	0,001319	0	0,002817	0	0	0	0	0,001345	0	0	0	0	0	0	0	0	0	0	0,001023	0	0	0,001091	0	0,002737	0	0	0	0	0
Acidothermus	0,001237	0	0	0	0	0	0	0,001259	0,001079	0	0,001436	0	0	0	0	0,00193	0,00276	0	0	0	0	0	0	0,001088	0	0	0	0,002617	0	0	0	0,001135	0,004255	0,001179	0,001444	0	0,001373	0	0,001695	0	0	0,00103	0	0	0,001276	0,001333	0	0	0,001211	0
Acidovorax	0,297159	0,681636	0,116389	0,276815	0,154944	0,333475	0,307174	0,389458	0,402645	0,220805	0,502777	0,773189	0,427019	0,225601	6,922052	0,539697	0,168592	1,121576	0,273713	0,943715	1,906249	0,374798	0,514667	0,137276	1,664795	0,726457	0,372701	1,770076	0,453666	1,003691	0,441958	1,076115	0,477411	0,257848	1,138149	0,172949	1,173736	0,55725	1,121864	0,503475	2,761873	1,111336	2,721797	0,425475	0,372636	0,237554	0,520375	1,110019	0,24893	2,403263
Acinetobacter	0,107814	0,172711	0,184112	0,112746	0,274152	0,068534	0,183419	0,120971	0,111927	0,125061	0,058027	0,187842	0,18545	0,091982	0,117595	0,081426	0,041004	0,616997	0,158578	0,139599	0,095175	0,106102	0,101464	0,094761	0,214531	0,194274	0,093564	0,099587	0,202046	0,149426	0,108017	0,102271	0,120091	0,124854	0,115847	0,248177	0,188684	0,16274	0,077404	0,059664	0,121419	0,136425	0,367573	0,192093	0,072071	0,185271	0,23459	0,269962	0,048562	0,121706
Acrocarpospora	0,002512	0	0,001284	0	0	0	0	0,003246	0,003828	0	0,004727	0,007134	0,001052	0	0,002507	0,005877	0,005299	0	0,015276	0,003655	0,01179	0	0	0,002467	0,003822	0,003681	0	0,00525	0,002605	0,009667	0,002776	0,006802	0,005533	0	0,017848	0	0,00219	0,004413	0,006272	0,001383	0,004256	0,007584	0	0,001508	0,002107	0,002475	0,001611	0,001763	0,002665	0,007195
Actibacterium	0	0,002137	0	0	0	0	0,001498	0,003323	0,002637	0	0,002851	0,003443	0,004325	0,001178	0,002901	0,006611	0,001227	0	0,001628	0,003436	0,003042	0	0	0	0,004484	0,001404	0	0,005162	0,004085	0,002845	0,001146	0,002506	0,001266	0,001151	0,017126	0	0,004228	0,005307	0	0	0,00371	0,004296	0,001948	0	0,001666	0,001448	0,001168	0,004465	0,002412	0,002798
Actinoallomurus	0,001469	0	0,001141	0	0	0	0	0,00105	0,001888	0	0,003313	0,00168	0	0	0	0,00304	0,003089	0	0,005706	0	0,003734	0	0	0,002448	0,001366	0,002184	0	0,002684	0,001202	0,002441	0,002436	0,003514	0,004078	0	0,00625	0	0,001185	0,00105	0,003569	0	0,001301	0,003943	0	0	0,00112	0	0	0	0	0,003414
Actinoalloteichus	0,001391	0	0	0	0	0	0	0	0,001187	0	0,001153	0,001314	0	0	0	0,001698	0,002345	0	0,004427	0	0,003038	0	0	0,001114	0	0,001619	0	0,002568	0	0,001935	0	0,003423	0,002569	0	0,007709	0	0,001337	0,002228	0,003985	0	0,001632	0,002987	0	0	0,001037	0,001106	0	0	0	0,002668
Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001604
Actinocatenispora	0,003188	0	0,001043	0	0	0	0	0,002936	0,004053	0	0,004788	0,003378	0,001096	0	0,001084	0,004174	0,00599	0	0,01079	0,001111	0,005334	0	0	0,001875	0,003044	0,002972	0	0,003908	0,001202	0,004282	0,002904	0,005516	0,005299	0	0,013149	0	0,002301	0,003309	0,005324	0	0,003788	0,006005	0	0,001599	0,001761	0,002727	0,002242	0,00138	0,002748	0,004616
