species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Colletotrichum sojae	0,002187	0,001193	0,000984	0,001416	0,000648	0,005164	0,00305	0,000397	0,001102	0,006049	0,000718	0,000467	0,001071	0,00418	0	0	0	0	0	0,001386	0	0,002545	0,001491	0,00239	0	0,00049	0,002424	0,000421	0,00108	0	0,000917	0	0,000621	0,000702	0	0,001779	0,001077	0	0	0,000772	0	0	0	0,001518	0,000527	0,000468	0	0,000392	0,00057	0
Colletotrichum spinosum	0,000614	0	0	0	0	0,001624	0,000486	0	0	0,001507	0	0	0	0,001026	0	0	0	0	0	0	0	0,00038	0	0	0	0	0	0	0	0	0	0	0	0,000393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colletotrichum sublineola	0,005046	0,003601	0,003617	0,004502	0,003061	0,013804	0,008695	0,002039	0,003843	0,021246	0,002135	0,001318	0,00304	0,007263	0	0,001518	0	0,001205	0	0,00414	0,00042	0,010226	0,004036	0,00688	0	0,001794	0,008611	0,002101	0,002655	0,001437	0,003904	0	0,003184	0,003837	0,000456	0,005288	0,003244	0,000468	0	0,004185	0,001834	0,00091	0,001662	0,005026	0,002623	0,001654	0,00115	0,001759	0,001953	0,000599
Colletotrichum tanaceti	0,002883	0,001941	0,001675	0,002554	0,001611	0,007462	0,00507	0,001136	0,002408	0,010993	0,001115	0,000534	0,00188	0,003847	0	0,000424	0	0,000408	0	0,002291	0	0,00546	0,001849	0,00377	0	0,000961	0,005298	0,00102	0,001267	0,000616	0,001713	0	0,001717	0,002187	0	0,003149	0,001303	0	0	0,001994	0,000403	0	0,000615	0,00263	0,001451	0,000802	0	0,000583	0,00093	0
Colletotrichum tofieldiae	0,003288	0,001783	0,002522	0,002354	0,002005	0,010416	0,004467	0,001069	0,002109	0,00992	0,000793	0,000433	0,001326	0,006245	0	0	0	0,001029	0	0,002942	0	0,013746	0,002415	0,003391	0	0,000845	0,005435	0,002042	0,001672	0,000671	0,001837	0	0,00147	0,002172	0	0,00326	0,001907	0	0	0,002551	0,001202	0,000566	0,000612	0,002592	0,001353	0,000579	0,000505	0,000684	0,001139	0
Colletotrichum trifolii	0,000775	0	0	0	0	0,001806	0,000717	0	0	0,002071	0	0	0	0,000915	0	0	0	0	0	0,000764	0	0,000569	0	0,000781	0	0	0,000974	0	0	0	0	0	0	0	0	0	0	0	0	0,000479	0	0	0	0,00043	0	0	0,000505	0	0	0
Colletotrichum tropicale	0,000534	0	0	0	0	0,002209	0,000595	0	0	0,001823	0	0	0	0,001038	0	0	0	0	0	0,000452	0	0,000574	0	0,000662	0	0	0,00046	0	0	0	0	0	0	0	0	0,000533	0,000409	0	0	0	0	0	0	0	0	0	0	0	0	0
Colletotrichum truncatum	0,010776	0,006494	0,006001	0,007171	0,005122	0,030415	0,016257	0,003672	0,005596	0,03805	0,003685	0,002787	0,005278	0,014398	0,000817	0,002946	0	0,002609	0,000751	0,00864	0,001154	0,013314	0,006272	0,009679	0,000963	0,003866	0,012097	0,004082	0,004136	0,002701	0,006302	0,000699	0,005193	0,006889	0,000877	0,008601	0,004661	0,001589	0,000676	0,007218	0,003841	0,002182	0,002908	0,008702	0,004739	0,003321	0,002549	0,00361	0,003835	0,001625
Colletotrichum viniferum	0,000721	0,000377	0,00043	0	0	0,00299	0,000729	0	0	0,002213	0	0	0	0,001005	0	0	0	0	0	0,000924	0	0,001129	0	0,000473	0	0	0,001657	0	0	0	0	0	0	0	0	0,000622	0,000483	0	0	0,000415	0	0	0	0,000821	0	0	0	0	0	0
Conidiobolus coronatus	0,000386	0,000424	0,001177	0,000654	0,00109	0	0,000401	0,000489	0,000378	0,000491	0,000452	0	0,00058	0	0	0,000512	0,001118	0,001753	0	0,000799	0	0	0	0	0,000937	0,000532	0,000404	0	0,001059	0	0	0	0,00111	0,001222	0	0,000638	0,000409	0	0,000994	0	0	0	0,00043	0	0,000382	0,00049	0,000568	0,000548	0,000516	0
Coniella lustricola	0,100128	0,138625	0,069325	0,105769	0,040473	0,134715	0,575304	0,041609	0,268215	1,553371	0,157279	0,022459	0,073782	0,026462	0,004648	0,043515	0	0,026844	0,004601	0,214747	0,001103	0,144639	0,165692	0,156246	0,000683	0,110644	0,479222	0,001603	0,082986	0,010133	0,182991	0,000551	0,187218	0,26142	0,003365	0,258155	0,025479	0,001259	0	0,050681	0,003806	0,015558	0,061031	0,251042	0,097837	0,008902	0,003319	0,089694	0,004192	0,035284
Coniochaeta ligniaria	0,031882	0,017944	0,01096	0,025272	0,027293	0,060461	0,032949	0,012477	0,01268	0,065152	0,007481	0,005296	0,011229	0,042664	0,001166	0,004093	0,001408	0,00515	0,002927	0,032677	0,001927	0,016059	0,014751	0,022579	0,001995	0,009316	0,028055	0,002604	0,00955	0,00596	0,012056	0,001279	0,009644	0,012315	0,00218	0,020624	0,012112	0,003263	0,000586	0,022151	0,005866	0,004157	0,004405	0,031036	0,015819	0,007735	0,006015	0,005289	0,009135	0,00287
Coniochaeta pulveracea	0,029333	0,015302	0,010227	0,019777	0,020903	0,04791	0,029917	0,01043	0,012051	0,059871	0,007395	0,004969	0,010133	0,037712	0,001052	0,004114	0,001483	0,004618	0,003174	0,02674	0,00186	0,015104	0,013347	0,022399	0,001732	0,008056	0,027742	0,002225	0,008274	0,005339	0,010523	0,000896	0,007977	0,012073	0,002213	0,018924	0,013476	0,002622	0,000451	0,019598	0,005203	0,004467	0,003951	0,025507	0,01337	0,006923	0,005459	0,004606	0,008175	0,002886
Coniophora puteana	0	0	0	0	0	0	0	0	0,000378	0	0	0	0	0,000592	0	0,001279	0	0	0	0	0	0	0	0,001039	0	0	0,000502	0	0	0	0	0	0	0	0	0,000827	0	0	0	0	0	0	0	0	0,000424	0	0	0	0	0
Coniosporium apollinis	0,016908	0,006467	0,008796	0,009771	0,005796	0,016859	0,009848	0,003594	0,005333	0,012413	0,002965	0,005484	0,008312	0,012762	0,002215	0,006977	0,001012	0,004462	0,00273	0,005861	0,002273	0,013516	0,008031	0,020401	0,001832	0,003412	0,012982	0,006948	0,005135	0,003118	0,004448	0,003489	0,00453	0,004826	0,001856	0,007131	0,006697	0,001798	0,001879	0,009223	0,005358	0,004395	0,005583	0,003979	0,003685	0,003515	0,00535	0,002575	0,019236	0,00163
Coniothyrium glycines	0,000959	0,000542	0	0	0	0,002847	0,002636	0	0	0,006325	0,000945	0,000417	0	0	0	0	0	0,001148	0	0,001178	0	0	0	0,000379	0	0,000471	0,000768	0,002599	0	0	0,000728	0,000405	0,000633	0,001464	0	0	0	0	0,000676	0	0	0	0,000659	0	0	0	0	0	0	0
Coprinellus angulatus	0	0	0	0	0	0	0	0	0	0,000459	0	0	0	0,00055	0	0,001116	0,000467	0	0	0	0	0	0	0,00148	0	0	0,000564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprinellus micaceus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000744	0	0	0	0	0	0	0	0,000644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprinopsis cinerea	0	0	0	0	0	0	0	0	0,000378	0	0	0	0	0,000544	0	0,001721	0,000448	0	0	0	0	0	0	0,00068	0	0	0,000466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprinopsis marcescibilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000837	0,000382	0	0	0	0	0	0	0,00103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cordyceps fumosorosea	0,003972	0,001877	0,002212	0,002735	0,001549	0,014122	0,004372	0,001214	0,00217	0,009963	0,000812	0,0005	0,001522	0,004963	0	0,000966	0	0,00048	0	0,002904	0	0,002926	0,002197	0,004119	0	0,000811	0,003751	0,001979	0,001076	0,000699	0,001909	0	0,001286	0,00212	0	0,002419	0,001374	0	0	0,002383	0,000849	0,000635	0,000565	0,002904	0,001609	0,00078	0,000505	0,000949	0,001187	0
Cordyceps javanica	0,003022	0,001483	0,002072	0,00194	0,001436	0,012564	0,002971	0,000862	0,001788	0,006414	0,000491	0,000483	0,001539	0,003722	0,00062	0	0	0,000956	0	0,001876	0	0,003035	0,001572	0,004084	0	0,000596	0,004115	0,001501	0,000475	0,000811	0,001071	0	0,001057	0,00087	0	0,003015	0,001114	0	0	0,002008	0	0	0,000481	0,002651	0,001212	0,001069	0,000537	0,00117	0,001192	0
Cordyceps militaris	0,002699	0,002286	0,002575	0,002555	0,002264	0,015431	0,004848	0,001203	0,002395	0,010678	0,00119	0,000834	0,002677	0,004876	0	0,000905	0	0,001196	0	0,003426	0	0,003308	0,002229	0,005282	0	0,00102	0,005452	0,002097	0,001462	0,000727	0,001806	0	0,001655	0,002083	0	0,003421	0,001857	0	0	0,0029	0,000884	0,000515	0,000662	0,003033	0,001673	0,000446	0,000632	0,001877	0,001411	0
Cortinarius glaucopus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynespora cassiicola	0,017261	0,005196	0,006223	0,0065	0,003721	0,010567	0,00726	0,002642	0,003932	0,01315	0,002058	0,015142	0,009272	0,008884	0,00443	0,004071	0,002448	0,011572	0,005042	0,004384	0,007517	0,008099	0,005614	0,009772	0,002754	0,003699	0,010116	0,01195	0,005571	0,004977	0,004889	0,003974	0,003137	0,003854	0,002098	0,005594	0,009699	0,003871	0,00366	0,005131	0,006448	0,004705	0,005163	0,003812	0,002535	0,003396	0,002745	0,002436	0,005747	0,001786
Crassisporium funariophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000442	0	0	0	0	0	0	0	0,00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronartium quercuum	0,009623	0,110045	0,003892	0,004644	0,018008	0	0,059685	0,058608	0,000533	0,000945	0	0,005942	0,038788	0	0,581784	0,00134	0	0,002417	0	0,158314	0,005535	0,002332	0,013251	0,000544	0,034744	0	0,001451	0	0,056749	0,005185	0	0,015481	0	0,123918	0,002631	0,013389	0,01215	0	0	0,000731	0,001499	0,038479	0,265543	0,007818	0,016254	0,003057	0,012332	0,009481	0	0,004016
Crucibulum laeve	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000434	0	0,001163	0,000597	0	0	0	0	0	0	0,000615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryomyces minteri	0,020407	0,009177	0,010037	0,012473	0,007342	0,019514	0,012604	0,004542	0,006587	0,016111	0,002844	0,00612	0,011986	0,018282	0,003682	0,01114	0,001547	0,006686	0,002558	0,007282	0,002348	0,016864	0,011581	0,02097	0,002774	0,004795	0,017306	0,011518	0,006446	0,004196	0,00652	0,005435	0,006052	0,007756	0,003149	0,008116	0,008839	0,001869	0,001863	0,012381	0,004237	0,005913	0,008473	0,0053	0,005443	0,004368	0,005687	0,003663	0,018303	0,00252
