genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Clavaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Claviceps	212	951	1115	580	139	10036	735	587	570	2032	59	99	486	1183	0	380	0	23	27	96	351	1563	460	471	0	345	1609	794	53	29	401	225	791	78	186	117	264	159	0	1159	239	53	295	1399	862	56	53	503	331	33
Clavispora	19	0	140	21	0	1928	0	0	0	17	0	0	0	71	18	0	0	37	0	0	0	365	125	24	0	15	140	0	0	0	0	0	0	18	0	0	19	0	177	0	0	0	0	413	0	0	31	0	27	0
Clavulina	53	136	0	1085	0	581	0	0	1595	159	0	0	29	248	23	78	12073	0	0	22	0	3119	178	4434	0	0	2623	0	0	0	0	0	0	15	0	25	0	0	0	16574	0	0	163	140	60345	0	0	0	9302	0
Clohesyomyces	779	1841	2538	1292	176	4681	1409	847	897	1775	238	1119	1647	1965	521	1544	7079	465	319	208	2487	2631	912	1444	142	529	2559	2197	183	898	1026	1570	1522	152	595	265	969	1199	357	1771	1991	525	1032	1080	1166	254	150	635	1138	380
Clonostachys	0	0	0	0	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coccidioides	227	709	870	679	75	2166	558	452	382	802	33	92	383	913	0	572	0	58	22	87	0	1217	342	511	0	241	1163	423	33	33	358	0	207	68	0	56	232	170	0	909	174	73	291	462	672	32	57	0	462	0
Coccocarpia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0
Coemansia	52	181	465	266	87	0	39	414	148	397	157	131	217	0	22	0	183	81	26	0	0	0	216	0	50	162	133	0	26	218	27	0	912	46	0	110	30	15	0	244	48	126	146	190	763	63	48	249	32	0
Coleophoma	17390	40476	144335	49892	5037	25418	27663	33833	21053	8275	2672	4971	22664	68987	810	30540	2603	1584	2172	6023	14000	882553	27889	23164	632	5455	118347	2262	1789	11798	5466	6556	3994	1806	2139	6014	15633	13161	386	68824	3964	7655	5543	22593	56559	2882	4995	4453	28333	6072
