genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Fulvimonas	0	389	0	0	0	1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	713	0	109	0	0	0	0	0	0	1005	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	344	0
Fulvivirga	335	1299	836	1048	189	1736	927	2511	1555	53	1549	539	845	1379	591	4332	4145	185	1132	187	7541	2237	792	2432	434	904	1342	2772	206	1688	1109	6506	1114	57	3675	95	1186	2595	1618	2823	1148	2282	2683	1493	3275	187	154	998	2260	1690
Furfurilactobacillus	52	0	0	0	0	0	0	339	0	771	0	0	0	507	0	0	0	0	3401	41	0	0	0	0	0	0	0	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0
Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0
Gaiella	767	2838	0	0	0	0	0	8303	705	1086	1589	1154	1083	0	3367	10227	5337	551	290	349	5501	1409	939	1952	1658	2864	1245	29677	338	4954	5060	17979	4089	378	1849	48	866	2491	3537	494	2533	4156	2062	4271	4708	748	70	10671	175	4126
Galactobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0
Galbitalea	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	53	450	60	0	0	0	338	39	1306	234	0	461	401	0	0	0	0	75	0	0	0	0	0	533	0	0	0	581	0	0	0	0	0	194	0
Gallaecimonas	86	460	334	754	0	1550	98	1254	563	44	1673	0	0	87	332	830	100	0	56	147	904	1021	1121	54	0	926	1040	336	0	0	1043	527	1000	44	857	0	31	480	0	1815	516	378	0	1433	1917	132	0	689	910	559
Gallibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
Gallionella	153	884	1261	1116	179	2536	486	1862	1155	43	1263	208	764	560	724	1304	1117	77	187	184	1486	1516	1141	679	249	708	1532	1250	96	0	801	732	2183	133	907	147	771	899	0	2215	1269	624	483	1214	3015	150	136	1200	946	533
