order	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Phycisphaerales	889	0	0	356	0	0	0	11526	3570	0	4701	1120	388	0	0	9489	7267	0	1013	0	7956	0	0	6206	572	5301	0	8999	376	6026	3548	8959	429	0	3754	0	0	5030	4393	0	0	4197	0	2669	9054	1263	0	3450	0	6240
Pirellulales	5109	17531	9532	13307	2155	17321	17863	59155	35408	6619	50422	19686	13809	10932	18038	80378	108290	3779	9727	2660	76396	10056	7761	24667	12235	31167	10393	102241	3980	74728	24926	84066	17973	1656	94050	1044	16831	33415	41193	22655	55842	37016	19831	24050	52126	6742	4251	39826	34765	38616
Planctomycetales	5129	11752	19240	21411	4826	24237	6695	64883	23590	5930	27289	10353	9719	11054	11899	62996	68513	3676	4358	1977	46125	12436	10515	52121	9094	18349	18902	67547	2672	36615	24781	61423	18904	2144	32288	2380	11546	25673	33064	59871	24740	22009	14560	20201	73701	6932	2429	33813	29097	27717
Pleurocapsales	0	0	0	0	0	0	0	0	0	0	0	706	0	8079	0	0	16472	0	0	0	3863	0	0	8835	0	0	0	0	0	3559	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	1051	0
Propionibacteriales	12119	55637	17744	10584	2594	18939	14026	74301	25896	9357	43176	15972	15262	11545	35985	76316	41256	14888	21861	6505	87385	24242	11946	25241	15345	38321	16212	440263	12440	62144	78500	839874	39702	4908	185149	1337	67742	56728	854301	27679	1000683	41116	47061	31373	49894	7917	3654	127278	19917	51868
Pseudomonadales	58658	760279	174369	553717	27154	247948	457730	305012	120582	159513	191278	46376	249211	65268	606386	168368	81565	196890	75480	55569	714429	1657903	451041	268883	28954	388591	597311	168852	45240	107620	373543	543597	175507	19542	168208	30941	130864	131113	368932	283258	596609	156899	772841	263515	292974	25996	80304	400447	148261	122618
Pseudonocardiales	8027	26093	28981	12104	2280	23142	9415	71982	29023	9480	46974	12774	11136	9809	17768	67925	45590	2893	20596	5291	87583	25378	15691	90169	7782	36436	35247	95626	6074	56558	34596	137985	35627	3463	180650	2155	46137	33175	137116	33689	78892	41231	14037	31658	48995	6304	3738	40800	24269	57654
Puniceicoccales	0	0	0	342	0	0	0	3468	0	0	0	0	0	0	0	0	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3069	0	0	0	0	0
Rhizobiales	179188	1471765	2657779	1207651	280869	1388556	762102	1714281	1077458	388691	2390497	397922	473497	648045	1330831	2500614	3332722	111715	246625	122775	2741399	1688480	754851	1937062	275693	1366229	1388389	3104385	200047	1568868	2737482	4668455	946869	99148	2625371	112565	1950063	1679115	2749564	3178018	2762034	1144465	1148118	979618	2794955	306018	138380	1604318	1798612	1192794
Rhodobacterales	31865	535263	95315	98013	20495	119171	250501	513893	172654	50995	276128	151683	384688	106542	254962	426542	203032	55874	63208	61173	577814	101756	65794	93827	111812	243168	84507	972367	64717	462501	198979	560367	232070	35023	1718396	9725	777826	756819	267879	197807	544767	311165	320048	254146	409584	40447	20182	647554	144787	222943
Rhodocyclales	25135	70222	63551	71391	11930	709642	53758	220291	85037	39003	191473	20617	55364	50074	162229	123617	177911	42889	23276	16478	259421	92291	107059	36327	27992	123902	126203	240751	8031	62087	119071	371773	315592	11654	380027	8129	176887	210208	90301	290049	424332	88285	140575	146744	405088	23505	12435	304710	99174	121238
Rhodospirillales	33712	204784	488400	359647	46825	536394	94768	589596	168608	79409	286000	47676	79441	102417	141627	364146	252632	35125	30953	27249	275902	270320	242069	733935	34852	187157	293407	388644	30959	169886	294913	430137	435181	30017	265211	21839	178746	366002	249831	691526	275151	159684	174331	261831	1463717	62558	21411	327781	286987	162530
Rickettsiales	1527	20551	16291	7905	2717	32772	12149	15027	7866	6161	794	2983	16093	6187	22158	12030	7158	2582	1211	2638	8280	13118	6097	4777	2014	3599	15407	22029	2233	6089	5111	13379	8606	2038	5588	1691	7299	4225	4777	11398	1581	9298	18453	10205	18900	1230	2065	12056	4590	3641
Rubrobacterales	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5377	0	0	0	0	2917	0	0	0	0	0	0	3245	0	2986	365	3476	481	0	0	0	0	0	5296	0	4487	3968	0	0	0	0	0	0	0	0
Saprospirales	994	3442	0	4334	0	0	4182	9748	6149	0	808	2673	7588	3886	3349	28809	18102	1698	1551	922	13156	2942	0	8368	1704	3836	3369	40343	751	8074	0	29941	3618	0	15287	0	5345	11585	3311	4282	7528	4580	5634	3405	17570	437	341	3553	4824	3749
Selenomonadales	0	0	0	0	0	3922	0	0	0	0	0	0	0	0	0	501	1846	0	0	0	3517	0	0	0	0	0	0	6102	0	0	0	0	474	0	0	0	0	6681	5558	8385	2637	0	0	0	4730	414	0	3069	2003	0
Silvanigrellales	0	0	0	3043	0	0	0	5952	0	0	0	0	0	0	0	780	3163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2834	618	0	0	0	0	0	4904	0	0	0	0	19540	0	0	0	0	0
Sneathiellales	0	0	0	3145	0	0	0	0	0	0	0	0	0	0	0	360	3021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2858	0	0	0	0	0	0	3457	0	0	0	0	9315	0	0	0	490	0
Solirubrobacterales	4029	36382	4391	0	893	0	14584	31846	10331	6729	22107	8469	10291	2778	9123	35187	8636	2189	3882	4169	24872	4180	3186	9597	5193	10873	0	46686	4537	26845	25616	57475	14004	1282	20227	708	13576	16816	53431	5525	44617	36293	6724	23224	8854	2448	2548	28269	3664	13573
Sphingobacteriales	24791	584068	283893	89306	23685	87854	107143	151343	88584	63911	59584	40248	82665	154804	76942	266524	358080	28676	81915	19705	348893	1685200	103636	174275	41620	71772	291665	256937	26790	102936	342494	833506	75982	9605	94094	14693	117424	118781	328568	205170	111354	131864	171581	113067	269092	16469	21619	142831	125640	86096
Sphingomonadales	132954	3702398	736421	767905	67372	2260153	990605	1849968	1294690	485910	1122132	351447	578868	704513	1113056	1317483	996310	173996	223083	218529	1515804	2108968	627939	1592021	308943	1236651	1494973	1806110	324696	783267	1732029	4693491	857426	169033	2038959	104567	1126740	1010264	1370804	1503817	2064581	1065835	2321972	1790691	2899927	206461	203315	2712899	2012180	713204
Spirochaetales	0	0	0	5197	0	9101	0	7172	4358	0	7283	0	0	0	2742	5191	9565	0	0	0	26988	0	0	2577	0	5779	0	0	0	0	3612	0	8000	0	2823	0	0	16549	0	7641	3386	827	0	6203	24139	1626	0	0	13226	4057
Spirulinales	0	0	0	0	0	0	0	0	0	0	0	0	0	2783	0	0	4307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomycetales	13911	77416	65249	30740	9416	66835	36587	89495	60254	415746	80618	33729	69998	98932	46939	104737	64850	14817	48268	12255	182512	62345	34161	48651	18587	68632	50223	144485	11858	131851	49273	200167	60113	8530	382124	6144	75934	59342	154562	59410	85903	88159	35766	99209	90096	11779	22776	119080	42095	118412
Streptosporangiales	6420	22710	23825	10110	1897	35551	7378	46477	25825	7521	40732	13852	12739	9495	17448	54241	33862	2554	19636	4662	94478	21228	14450	42830	6773	32345	17071	66467	4880	64552	26232	94643	37222	3804	173108	1915	35894	31596	71298	29831	41931	41112	10504	31272	42970	5806	3841	34713	20711	55830
Synechococcales	3045	9259	119363	11714	12170	26157	102534	79192	14568	14346	24607	10600	10956	306822	6442	34579	772855	3186	2997	2205	25035	18195	8601	242840	2464	12567	25330	35389	1335	50284	11131	28874	24427	2177	16846	20920	8241	16795	28442	33827	8518	8050	6405	25051	60202	4120	2135	27446	93841	13806
Syntrophobacterales	0	0	0	0	0	0	0	3111	312	0	0	0	0	0	0	401	3991	0	0	0	6290	0	0	0	0	3635	0	3045	0	0	0	3123	865	0	0	0	0	5217	0	0	7330	0	0	0	3539	981	0	0	0	5321
Tepidisphaerales	473	0	0	1756	0	0	0	0	9579	0	5815	962	0	0	2605	7610	7969	0	1504	0	4180	0	0	5108	574	3380	0	10039	0	4764	6343	18871	853	0	0	0	0	0	9845	3083	3691	5052	0	3968	5415	355	416	0	3781	4266
Thermales	0	0	0	0	0	0	0	0	3393	0	719	0	0	0	0	418	5258	0	477	0	4058	0	0	3860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2599
Thermoanaerobacterales	0	4948	7580	299	1548	0	4162	2964	0	4489	0	1616	4400	848	482	4837	0	1125	0	0	0	0	0	349	1053	341	0	0	838	303	410	0	530	310	3353	1047	244	2970	5115	0	2157	2886	339	8209	0	777	1038	3867	0	2568
Thermogemmatisporales	0	0	19741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermomicrobiales	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5605	0	0	0	0	0	0	0	0	546	0	0	12485	0	0	0	8505	0	0	0	0	0	3188	7136	0	5354	520	0	0	0	0	0	3222	0	588
Thiotrichales	1623	7362	7428	10561	1403	19188	4489	18647	11456	408	15810	2111	6810	5912	5893	15090	12378	629	2302	1546	18402	8370	9450	6060	2194	13555	10042	12963	926	4999	8975	11568	11330	936	13587	794	9147	9216	4099	20611	11720	7309	4175	11337	28779	2320	1339	11464	11980	10688
Tissierellales	0	3577	3602	0	1233	0	2695	0	0	0	0	696	3186	0	0	0	0	1060	0	0	0	0	0	0	560	332	0	0	458	0	0	0	0	0	2738	855	0	0	0	0	0	0	280	0	0	275	999	3254	0	0
Vampirovibrionales	0	0	0	0	0	0	0	6545	0	0	0	0	0	0	0	8417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49629	0	0	0	0	0
Verrucomicrobiales	8598	37308	23073	26405	6683	30411	8460	81522	32228	7749	49614	17067	13759	9845	51563	166702	50049	7892	14102	7998	92664	20675	19887	34161	16347	49462	22247	234886	5329	61495	62977	174988	32112	3055	42069	1312	12711	53886	55417	50843	42150	48549	39881	26251	108730	13466	3679	60736	25258	61430
Vibrionales	3505	40740	39681	10356	8824	23946	23016	26810	13634	11183	11806	9295	29737	7992	11027	25505	8773	19658	11698	2788	47877	26416	9751	7293	7488	25208	19590	32962	4219	17029	9408	41119	11990	1891	45271	5300	18806	18708	31040	18479	14772	18906	26515	44036	29933	4398	20684	101465	9044	23499
Xanthomonadales	25610	1180566	132301	207583	20909	275620	66421	229978	107457	91802	220228	28638	51821	59130	110170	155226	82393	18037	31333	38951	215182	3820590	164482	544192	21993	187437	940202	197645	26160	110899	2731318	405141	151570	9453	270899	11039	186199	161375	371684	275671	182953	176543	135037	203559	304507	22277	19025	269176	147918	110416
