species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Oidium neolycopersici	631	1763	1254	1713	161	847	1138	1197	754	903	44	174	564	2394	0	1153	40	36	60	183	531	1939	734	601	0	279	1192	0	66	412	267	248	220	91	0	153	641	480	0	1855	261	392	243	939	1582	116	169	193	897	229
Ophiobolus disseminans	371	1088	1179	726	119	2301	2307	805	521	1420	36	557	786	901	3469	722	562	661	212	157	1578	2688	622	1299	101	371	4189	21100	269	714	1595	4056	318	60	881	143	2272	641	1133	991	1433	480	2370	744	617	48	100	386	511	315
Ophiocordyceps australis	261	1286	1166	874	165	12445	962	689	797	2437	61	96	594	1546	0	553	0	76	0	189	0	1836	663	560	0	471	2168	871	60	177	525	144	524	100	245	146	277	200	0	1389	319	60	325	1668	1221	101	78	837	378	0
Ophiocordyceps camponoti-floridani	35	160	169	173	0	1991	118	0	176	693	27	0	0	254	0	0	0	0	0	14	0	331	134	44	0	0	563	126	0	0	140	0	140	22	0	21	14	0	0	205	0	0	0	319	0	0	0	117	0	0
Ophiocordyceps camponoti-rufipedis	64	139	177	207	0	2655	105	0	162	601	0	0	19	337	0	0	0	0	0	20	0	441	138	57	0	0	502	173	0	0	132	0	0	22	0	21	19	0	0	233	0	25	0	405	0	0	12	0	0	0
Ophiocordyceps polyrhachis-furcata	30	146	184	0	0	2453	176	0	0	388	0	0	33	282	0	0	0	0	0	15	0	358	143	40	0	0	366	169	0	0	0	0	0	0	0	13	15	0	0	217	0	0	0	364	0	0	0	0	0	0
Ophiocordyceps sinensis	211	1025	1074	688	131	11646	865	608	587	2442	68	71	601	1288	0	486	0	97	21	138	0	1692	570	452	0	369	1703	999	77	214	504	203	454	119	212	114	227	162	0	1288	264	37	359	1390	1033	64	73	1142	358	35
Ophiocordyceps unilateralis	112	527	523	311	76	6197	486	310	277	1083	0	24	268	738	181	21	0	45	19	78	0	920	254	222	0	207	1220	993	26	29	251	246	337	60	0	58	30	0	0	838	215	24	411	633	503	34	15	352	235	0
Ophiognomonia clavigignenti-juglandacearum	91	4708	2099	2667	143	10474	6089	1704	4340	35178	1543	131	3494	647	0	2402	0	200	0	802	0	3405	1585	735	0	4232	16431	0	481	152	6276	0	5623	1325	0	1417	239	0	0	0	0	566	2653	3278	5516	0	0	3380	0	194
Ophiostoma novo-ulmi	0	236	0	144	15	1291	81	0	132	586	21	0	0	415	0	0	0	0	0	15	0	282	26	34	0	0	504	0	22	0	0	0	0	21	0	36	0	0	0	0	0	0	0	194	0	0	0	0	0	0
Ophiostoma piceae	464	2368	1907	1391	354	10317	2084	1346	1516	6125	365	144	1110	3123	0	904	0	95	66	379	312	2947	1146	1007	26	1083	4496	473	140	271	1196	166	1199	222	296	340	481	229	0	2812	538	272	630	3342	2465	125	117	804	679	198
Orbilia dorsalia	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orbilia oligospora	59	0	237	206	0	542	133	0	0	186	0	24	0	275	0	0	0	0	0	12	0	472	0	162	0	0	387	0	0	0	0	0	0	14	0	0	15	0	0	179	0	0	0	0	0	0	0	0	25	0
Pachysolen tannophilus	93	267	495	315	47	894	172	308	0	140	0	41	27	453	0	222	0	17	0	43	0	414	197	23	0	0	357	162	22	15	14	0	0	14	0	30	13	0	0	419	0	51	0	333	196	27	56	0	166	0
Paecilomyces penicillatus	0	224	0	147	51	1710	0	0	0	0	0	0	0	587	0	0	0	0	0	35	0	243	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	150	0	0	0	0	0	0
Panaeolus cyanescens	0	159	355	133	78	0	168	0	0	0	0	42	19	140	0	39	181	29	0	0	0	0	0	171	35	0	0	0	19	0	0	0	0	0	0	47	17	0	0	0	0	0	0	136	0	17	27	0	0	0
Panaeolus papilionaceus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccidioides brasiliensis	70	0	220	161	0	513	0	0	0	0	0	0	23	230	0	0	0	0	0	0	0	336	17	27	0	0	283	0	0	0	0	0	0	0	0	0	23	0	0	172	0	0	0	0	0	0	0	0	26	0
Paracoccidioides lutzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paramicrosporidium saccamoebae	59	202	346	28	60	0	0	414	0	14	0	135	227	23	260	283	424	662	18	19	151	0	0	129	47	0	0	504	63	302	0	160	139	49	0	48	0	176	385	0	246	23	1350	0	503	76	52	358	51	166
Paraphaeosphaeria minitans	270	926	876	392	70	1518	768	325	296	698	38	225	453	629	239	481	25	195	58	92	487	1151	330	471	45	198	1170	1964	143	344	390	1076	190	42	294	87	730	442	532	679	548	201	494	410	457	40	64	350	409	168
Paraphaeosphaeria sporulosa	506	1566	1221	751	129	2177	1383	470	511	1315	171	394	677	930	350	769	153	279	111	203	866	1955	495	773	69	342	1780	3375	237	755	682	2010	354	62	424	133	1404	844	1705	1075	927	361	693	661	710	62	104	588	625	303
Parasitella parasitica	25	145	0	0	0	0	31	0	0	184	0	0	22	149	0	0	0	23	0	35	0	0	0	0	0	0	0	0	18	0	0	0	0	35	0	19	0	0	0	0	0	0	18	0	0	0	0	0	0	0
Parastagonospora nodorum	407	1199	1633	697	196	2680	1809	772	537	1637	177	524	880	931	2996	720	476	2279	158	124	1472	2087	637	1903	125	484	4162	27189	340	820	1710	3970	520	120	940	190	2859	891	1093	1018	1516	435	3004	799	631	70	149	525	518	326
Parengyodontium album	0	0	0	0	16	1750	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parmotrema diffractaicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0
Parmotrema stuppeum	0	0	0	0	0	0	76	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Passalora fulva	0	0	614	0	0	4336	0	0	0	15	0	0	0	128	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0
Patellaria atrata	512	1698	2017	1665	209	6087	1232	824	1373	1275	232	323	1578	1846	268	1822	34	139	81	141	586	3600	811	1722	46	459	3295	2165	159	294	753	1042	384	113	400	157	423	340	284	2057	989	475	891	1000	1276	127	153	646	1524	165
Paxillus involutus	0	0	212	125	0	0	0	0	0	0	0	49	0	0	192	20	0	0	0	27	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	13	0	0	0	0	0	0	0
Paxillus rubicundulus	41	0	0	0	0	1077	240	0	0	0	0	0	0	334	0	21	0	0	0	0	0	198	0	59	0	0	153	0	0	0	45	0	0	0	0	0	0	0	0	233	371	0	0	0	0	0	12	0	0	0
Peltaster fructicola	475	6406	7710	7187	5391	29110	4615	1068	12094	5319	693	440	2164	3572	1730	1199	255	661	133	380	1106	22839	40475	1459	461	1086	25887	20173	537	621	2081	4613	1073	255	2847	576	563	164	762	7921	1064	698	4306	4270	1568	210	344	3032	2772	331
