ordem	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CasM1	CAV1	CAV2	CBR1	COV1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	rPON1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	Vilc1	VIZ1
Sordariales	0,210407	0,119826	0,081883	0,158035	0,19327	0,442229	0,198391	0,082115	0,076017	0,366002	0,045727	0,02767	0,034971	0,06426	0,313404	0,010363	0,008274	0,028695	0,018733	0,228286	0,013767	0,095427	0,087567	0,126553	0,01491	0,057211	0,172666	0,016386	0,064997	0,038794	0,066958	0,008163	0,052103	0,072164	0,016196	0,018322	0,128889	0,082964	0,013738	0,009587	0,14905	0,034428	0,027525	0,029678	0,217263	0,105685	0,045077	0,037633	0,059094	0,030124
Spizellomycetales	0	0	0,008888	0,020544	0,006505	0	0	0,007519	0	0,009049	0,005666	0	0,008647	0	0	0,007818	0,015982	0	0	0	0	0	0,0179	0,006409	0	0,011365	0,006288	0,006162	0,005708	0	0,006684	0	0,024478	0,013779	0	0	0,01296	0,005586	0	0,01235	0,008258	0,006354	0	0	0	0,009855	0,009359	0	0,006669	0,007219
Sporidiobolales	0,00601	0	0,005542	0	0	0	0	0	0	0,008699	0	0,005852	0	0	0	0,007227	0	0,011048	0	0	0	0,014133	0,011408	0,009437	0,005756	0	0,012722	0	0	0	0	0,025525	0	0	0	0	0	0	0	0,006782	0	0	0	0,014099	0	0	0	0	0	0
Synchytriales	0	0	0,017411	0,036557	0,011059	0	0	0	0	0,012804	0,014857	0	0,00596	0	0	0	0,013792	0	0	0	0	0	0,012363	0,007146	0	0,009809	0	0	0	0	0,007563	0	0,016204	0,008956	0	0	0,039317	0	0	0	0,016478	0	0	0	0	0,009914	0,006765	0	0,009077	0
Taphrinales	0,01489	0,017745	0,06635	0,045163	0,02869	0,014336	0,025598	0	0,027564	0,0472	0,008265	0,0237	0,010156	0,013069	0	0,008294	0	0,046736	0	0,007891	0	0,014435	0,049192	0,009289	0	0,046882	0,065027	0	0,027404	0	0,021816	0,0401	0,012142	0,036301	0,009787	0	0,015816	0	0	0	0,008597	0	0,011699	0,024841	0,01147	0,006821	0,009007	0	0	0,019214
Tilletiales	0	0,009011	0	0	0	0	0	0	0	0	0	0	0	0	0	0,008738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Togniniales	0,04351	0,029433	0,01938	0,033739	0,030876	0,087713	0,071417	0,016587	0,032582	0,171902	0,018029	0,009425	0,007789	0,019158	0,051044	0	0	0,008416	0	0,047008	0	0,03028	0,028708	0,041795	0	0,017289	0,065566	0	0,015743	0,00782	0,025329	0	0,021956	0,031228	0	0,006189	0,043413	0,014855	0	0	0,031159	0,010416	0,007428	0,008663	0,050263	0,023424	0,011285	0,007845	0,01156	0,011994
Tremellales	0,027268	0,047632	0,058058	0,013869	0,02041	0,008081	0,052678	0,011432	0,009356	0,031216	0	0,033337	0,015536	0,011748	0,010431	0,159148	0	0,090924	0	0,025914	0,006244	0,03278	0,026256	0,021863	0,016412	0,031905	0,03104	0,029479	0,040307	0,007939	0,013668	0,05654	0,012974	0,025284	0,014004	0,006717	0,014703	0,008745	0,005549	0,013765	0,008756	0,013693	0,008876	0,110714	0,011227	0,01076	0,010198	0,011516	0,006027	0,020859
Trichosporonales	0	0,006156	0,006609	0	0	0	0,007283	0	0	0,00698	0	0	0	0	0	0,019578	0	0,012019	0	0	0	0	0	0	0	0,008424	0	0	0,006407	0	0	0,006862	0	0	0	0	0	0	0	0,013123	0	0	0	0,011252	0	0	0	0	0	0
Trypetheliales	0,014207	0,006771	0,011075	0,009734	0,006822	0,017152	0,009645	0	0	0,013394	0	0,006746	0	0,007578	0,012259	0	0	0	0	0	0	0,013869	0,007656	0,013919	0	0	0,014336	0,008413	0,005599	0	0	0	0	0	0	0	0,008736	0,006809	0	0	0,009492	0	0	0,007155	0	0	0	0	0,012188	0
